Category,Count,Examples
Code,21,class ; class ; class ; class ; class ; class ; class ; class ; class ; class ; class ; class ; class ; class ; class ; function ; function ; function ; function ; function ; function 
Configuration files,0,
Religious texts,21,God; God; God; God; God; Jesus; Jesus; Jesus; god; god; god; god; god; god; god; jesus; jesus; jesus; jesus; prophet; prophet
Pseudonyms,0,
Donald Trump tweets and quotes,2,donald trump; donald trump
"Web forms (menu items, instructions, etc.)",0,
Tech News,2,wired; wired
"Lists of numbers (dates, sequences, etc.)",139,"0 1; 0 1; 0 10; 0 4; 000 3 3; 09 2001; 09 2001; 1 18; 1 2; 1 2; 1 2; 1 2; 1 2 10; 1 2017; 1 3 4; 1 5; 1 5; 1 6; 1,000; 1,000; 10 10 21; 10 1014; 10,000; 10,000; 10,000; 11 6; 12 2001 1; 12 2001 1; 13 12; 13 5; 14 25 2; 15 12 8; 15 5; 15 8; 2 1 7; 2 13; 2 2; 2 2; 2 2; 2 2; 2 3; 2 4; 2 7; 2001 00; 2001 01; 2001 01; 2001 01; 2001 01; 2001 02; 2001 02; 2001 06; 2001 06; 2001 06; 2001 07; 2001 07; 2001 07; 2001 08; 2001 08; 2001 08; 2001 08; 2001 08; 2001 08; 2001 08; 2001 09; 2001 09; 2001 09; 2001 09; 2001 09; 2001 10; 2001 10; 2001 10; 2001 1053; 2001 1053; 2001 12; 2001 12; 2001 12; 2001 13; 2001 13; 2001 13; 2001 13; 2001 14; 2001 15; 2001 15; 2001 15; 2001 16; 2001 16; 2001 16; 2001 16; 2001 18; 2001 18; 2001 21; 2001 21; 2002 06; 2002 06; 2002 08; 2002 08; 2002 08; 2002 08; 2002 09; 2002 13; 2002 13; 2002 13; 2002 13; 2002 15; 2002 16; 2002 18; 2002 7; 21 100; 21 17; 21 30; 23 2002; 23 2002; 28 10; 3 14; 3 4; 3 4; 3 5; 3 5; 3 8; 31 18; 38 35; 4 1; 4 1; 4 18; 4 2 4; 4 7; 41 12; 44 40 36; 5 5; 5 6; 5 8; 50,000; 6 1; 6 11 14; 6 9; 6 9; 7 14; 8 6 5; 9 3"
,,
Total Samples,528,
