Category,Count,Examples
Code,16,class ; class ; class ; class ; class ; class ; class ; class ; class ; class ; class ; class ; class ; class ; function ; function 
Configuration files,0,
Religious texts,10,Jesus; Jesus; god; god; god; god; god; jesus; jesus; jesus
Pseudonyms,0,
Donald Trump tweets and quotes,44,donald trump; donald trump; donald trump; donald trump; donald trump; donald trump; donald trump; donald trump; donald trump; donald trump; donald trump; donald trump; donald trump; donald trump; donald trump; donald trump; donald trump; donald trump; donald trump; donald trump; donald trump; donald trump; donald trump; donald trump; donald trump; donald trump; donald trump; donald trump; donald trump; donald trump; donald trump; donald trump; donald trump; donald trump; donald trump; donald trump; donald trump; donald trump; donald trump; donald trump; donald trump; donald trump; donald trump; donald trump
"Web forms (menu items, instructions, etc.)",0,
Tech News,2,startup; startup
"Lists of numbers (dates, sequences, etc.)",62,"1,100; 11 3; 11 3; 12 18; 127 98; 127 98; 127 98; 127 98; 18 34; 18 34; 18 34; 18 49; 18 49; 2 39; 2 39; 2 39; 2 39; 2000 2001; 2000 2001; 2000 2001; 2000 2001; 2001 07; 2001 07; 2001 07; 2001 07; 2001 07; 2001 08; 2001 08; 2001 08; 2001 08; 2001 08; 2001 08; 2001 08; 2001 08; 2001 14; 2001 14; 2001 14; 2001 14; 2001 14; 2001 14; 2001 14; 2001 14; 2001 14; 2002 12; 2002 12; 2002 12; 2002 12; 2002 12; 2002 15; 2002 15; 2002 15; 2002 15; 500,000; 60,000; 60,000; 60,000; 60,000; 60,000; 9 8; 9 8; 9 8; 9 8"
,,
Total Samples,433,
